year,month,level,category,units,yoy_pct
2025,6,maker,,687,
2025,6,maker,,825,
2025,6,maker,,952,
2025,6,maker,,972,
2025,6,maker,,1073,
2025,6,maker,,1688,
2025,6,maker,,2188,
2025,6,maker,,4998,
2025,6,maker,,6183,
2025,6,maker,,6380,
2025,6,maker,,19486,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,54,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,108,
2025,6,model,,162,
2025,6,model,,162,
2025,6,model,,162,
2025,6,model,,162,
2025,6,model,,216,
2025,6,model,,216,
2025,6,model,,216,
2025,6,model,,270,
2025,6,model,,270,
2025,6,model,,324,
2025,6,model,,324,
2025,6,model,,324,
2025,6,model,,432,
2025,6,model,,485,
2025,6,model,,539,
2025,6,model,,539,
2025,6,model,,647,
2025,6,model,,701,
2025,6,model,,755,
2025,6,model,,755,
2025,6,model,,755,
2025,6,model,,917,
2025,6,model,,917,
2025,6,model,,971,
2025,6,model,,1025,
2025,6,model,,1133,
2025,6,model,,1295,
2025,6,model,,1295,
2025,6,model,,1942,
2025,6,model,,1942,
2025,6,model,,2158,
2025,6,model,,2589,
2025,6,model,,2913,
2025,6,model,,4100,
2025,6,model,,4855,
2025,6,model,,5232,
2025,6,powertrain,HEV,10190,3.49
2025,6,powertrain,ICE,12242,-3.36
2025,6,powertrain,PHEV,557,150.9
2025,6,segment,PICKUP_1T,11153,-20.74
2025,6,total,TOTAL,50079,5.0
2025,5,maker,,10,
2025,5,maker,,10,
2025,5,maker,,20,
2025,5,maker,,40,
2025,5,maker,,40,
2025,5,maker,,50,
2025,5,maker,,50,
2025,5,maker,,70,
2025,5,maker,,100,
2025,5,maker,,270,
2025,5,maker,,470,
2025,5,maker,,540,
2025,5,maker,,770,
2025,5,maker,,830,
2025,5,maker,,860,
2025,5,maker,,106,
2025,5,maker,,110,
2025,5,maker,,153,
2025,5,maker,,162,
2025,5,maker,,165,
2025,5,maker,,176,
2025,5,maker,,189,
2025,5,maker,,200,
2025,5,maker,,231,
2025,5,maker,,238,
2025,5,maker,,263,
2025,5,maker,,264,
2025,5,maker,,343,
2025,5,maker,,395,
2025,5,maker,,491,
2025,5,maker,,682,
2025,5,maker,,778,
2025,5,maker,,913,
2025,5,maker,,984,
2025,5,maker,,1087,
2025,5,maker,,1309,
2025,5,maker,,1684,
2025,5,maker,,1887,
2025,5,maker,,5550,
2025,5,maker,,5787,
2025,5,maker,,6757,
2025,5,maker,,20170,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,55,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,110,
2025,5,model,,166,
2025,5,model,,166,
2025,5,model,,166,
2025,5,model,,166,
2025,5,model,,55,
2025,5,model,,166,
2025,5,model,,166,
2025,5,model,,166,
2025,5,model,,221,
2025,5,model,,221,
2025,5,model,,276,
2025,5,model,,331,
2025,5,model,,386,
2025,5,model,,386,
2025,5,model,,552,
2025,5,model,,607,
2025,5,model,,607,
2025,5,model,,718,
2025,5,model,,773,
2025,5,model,,828,
2025,5,model,,883,
2025,5,model,,938,
2025,5,model,,1049,
2025,5,model,,1049,
2025,5,model,,1104,
2025,5,model,,1159,
2025,5,model,,1270,
2025,5,model,,1380,
2025,5,model,,1435,
2025,5,model,,1546,
2025,5,model,,1711,
2025,5,model,,2153,
2025,5,model,,2760,
2025,5,model,,3202,
2025,5,model,,4472,
2025,5,model,,4858,
2025,5,model,,5079,
2025,4,maker,,10,
2025,4,maker,,40,
2025,4,maker,,40,
2025,4,maker,,40,
2025,4,maker,,50,
2025,4,maker,,80,
2025,4,maker,,90,
2025,4,maker,,160,
2025,4,maker,,440,
2025,4,maker,,550,
2025,4,maker,,560,
2025,4,maker,,590,
2025,4,maker,,630,
2025,4,maker,,630,
2025,4,maker,,680,
2025,4,maker,,760,
2025,4,maker,,800,
2025,4,maker,,930,
2025,4,maker,,970,
2025,4,maker,,970,
2025,4,maker,,104,
2025,4,maker,,129,
2025,4,maker,,132,
2025,4,maker,,152,
2025,4,maker,,169,
2025,4,maker,,211,
2025,4,maker,,389,
2025,4,maker,,445,
2025,4,maker,,458,
2025,4,maker,,592,
2025,4,maker,,595,
2025,4,maker,,745,
2025,4,maker,,871,
2025,4,maker,,1264,
2025,4,maker,,1692,
2025,4,maker,,4774,
2025,4,maker,,5787,
2025,4,maker,,5959,
2025,4,maker,,18610,
