country,year,month,level,maker,model,category,seats,region,units,units_ytd,yoy_pct,is_subtotal,source,source_url,source_name,source_site
VN,2026,6,maker,Mitsubishi,,,,ALL,3158,21617,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Mitsubishi,,,,Central,989,6338,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Mitsubishi,,,,North,1150,8194,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,Mitsubishi,,,,South,1019,7085,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,PEUGEOT,,,,ALL,122,670,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,PEUGEOT,,,,Central,9,110,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,PEUGEOT,,,,North,53,334,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,PEUGEOT,,,,South,60,226,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,SAMCO,,,,ALL,10,115,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,SAMCO,,,,Central,1,2,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
VN,2026,6,maker,SAMCO,,,,North,1,73,,1,vama,http://vama.org.vn/Data/upload/files/2026/BCBH/VAMA%20sales%20report%20June%202026%20-%20Detail.pdf,VAMA (Vietnam Automobile Manufacturers' Association),vama.org.vn
