year,month,maker,model,vama_class,seats,units,units_ytd
2026,4,Missu Van,Missu,Van,,9,9
2026,4,Suzuki,Jimny,SUV,4 seats,7,82
2026,4,SAMCO,SAMCO 24 CN ~ 46CN,Medium bus,27 seats,6,24
2026,4,Suzuki,Swift,Hatchback,5 seats,6,63
2026,4,Daewoo Truck,CL4TF/CL4T8/CL4DF,Light truck,,4,10
2026,4,VIDABUS,G12,Large bus,47 seats,3,20
2026,4,SAMCO,Hooklift,Hooklift (SPV),3 seats,3,3
2026,4,Isuzu,mu-X,SUV,7 seats,3,62
2026,4,SAMCO,Fire truck,Fire fighting truck (SPV),7 seats,1,2
2026,4,SAMCO,Garbage compactor truck,Garbage compactor truck (SPV),3 seats,1,2
2026,4,Toyota,Fortuner,SUV,7 seats,1,182
2026,4,Toyota,Corolla,Sedan,5 seats,1,14
2026,4,VIDABUS,GVD090,City bus,60 seats,,1
2026,4,VIDABUS,G8,Large bus,29-34 seats,,3
2026,4,Daewoo Truck,HC/HU,Light truck,,,2
2026,4,Honda,Civic TypeR,Others,5 seats,,1
2026,4,Honda,Civic,Sedan,5 seats,,60
2026,4,SAMCO,SAMCO B40 ~ B80,Large bus,40 seats,,47
2026,4,Toyota,Wigo,Sedan,5 seats,,200
2026,4,Toyota,Alphard,MPV,7 seats,,11
2026,4,Toyota,Corolla Hybrid,Hybrid,6 seats,,2
2026,4,Mitsubishi,Pajero Sport,SUV,7 seats,,81
2026,3,THACO TRUCK,Truck,Light truck,2 seats,2761,5725
2026,3,Toyota,Yaris Cross,SUV,5 seats,1914,3605
2026,3,Mitsubishi,Destinator,SUV,7 seats,1663,2994
2026,3,THACO MAZDA,CX-5,Crossover,5 seats,1531,4643
2026,3,Mitsubishi,Xpander (CBU),MPV,7 seats,1464,3149
2026,3,Ford,Everest,SUV,7 seats,1443,3580
2026,3,Ford,Territory,MPV,5 seats,1136,3411
2026,3,Ford,Ranger CKD,Pick-up,5 seats,1052,3239
2026,3,Mitsubishi,Xforce,SUV,5 seats,1050,3261
2026,3,Toyota,Vios,Sedan,5 seats,1004,2737
2026,3,Isuzu,Truck,Other Truck,3 seats,959,2158
2026,3,Toyota,Innova Cross Hybrid,Hybrid,7 seats,826,1119
2026,3,THACO KIA,Sonet,Crossover,5 seats,773,2223
2026,3,Toyota,Corolla Cross Hybrid,Hybrid,5 seats,752,1179
2026,3,Toyota,Innova Cross,MPV,8 seats,750,1400
2026,3,THACO KIA,Seltos,Crossover,5 seats,743,2325
2026,3,Toyota,Veloz Cross,MPV,7 seats,719,2175
2026,3,Toyota,Hilux,Pick-up,5 seats,650,1649
2026,3,Ford,Transit,Minibus,16 seats,510,1028
2026,3,THACO KIA3. VA,CMareAnssendtomedia_March2,6SU uVpdated,Pa7g seeats 1,505,
2026,3,Honda,CR-V Hybrid,Hybrid,5 seats,471,665
2026,3,Mitsubishi,Triton,Pick-up,5 seats,467,972
2026,3,Toyota,Yaris Cross Hybrid,Hybrid,5 seats,464,561
2026,3,THACO KIA,Carnival,MPV,7 seats,463,1074
2026,3,THACO MAZDA,Mazda2,Sedan,5 seats,433,1047
2026,3,Hino,HINO,Other Truck,3 seats,423,962
2026,3,Toyota,Raize,SUV,5 seats,405,730
2026,3,Honda Honda,CITY,Sedan,5 seats,398,1681
2026,3,Ford,Ranger CBU,Pick-up,5 seats,397,873
2026,3,Honda,BR-V,MPV,7 seats,352,706
2026,3,THACO MAZDA,CX-8,SUV,7 seats,351,932
2026,3,Suzuki,Super Carry Pro,Small truck,2 seats,351,738
2026,3,THACO MAZDA,Mazda3,Sedan,5 seats,305,914
2026,3,Mitsubishi,Xpander (CKD),MPV,7 seats,299,1082
2026,3,JMC,IZ,Light truck,,269,510
